"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"1" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"2" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"3" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"4" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"5" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"6" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"7" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"8" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"9" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"10" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"11" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"12" "high" "low" "<18" "<18" "<18" "<18" "open"
"13" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"14" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"15" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"16" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"17" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"18" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"19" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"20" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"21" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"22" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"23" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"24" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"25" "low" "high" "<18" "<18" "<18" "18-24" "closed"
"26" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"27" "low" "low" "18-24" "<18" "18-24" "<18" "closed"
"28" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"29" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"30" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"31" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"32" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"33" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"34" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"35" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"36" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"37" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"38" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"39" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"40" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"41" "low" "low" "18-24" "<18" "<18" "<18" "open"
"42" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"43" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"44" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"45" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"46" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"47" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"48" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"49" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"50" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"51" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"52" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"53" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"54" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"55" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"56" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"57" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"58" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"59" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"60" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"61" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"62" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"63" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"64" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"65" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"66" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"67" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"68" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"69" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"70" "low" "high" "18-24" ">24" "18-24" ">24" "closed"
"71" "low" "low" "18-24" ">24" ">24" ">24" "open"
"72" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"73" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"74" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"75" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"76" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"77" "low" "low" "18-24" ">24" "<18" "<18" "closed"
"78" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"79" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"80" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"81" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"82" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"83" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"84" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"85" "low" "low" "18-24" "<18" "<18" "<18" "open"
"86" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"87" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"88" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"89" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"90" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"91" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"92" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"93" "low" "high" "18-24" "18-24" "<18" "<18" "open"
"94" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"95" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"96" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"97" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"98" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"99" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"100" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"101" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"102" "low" "high" "18-24" "18-24" "<18" "18-24" "closed"
"103" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"104" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"105" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"106" "low" "low" "<18" "<18" "<18" "<18" "closed"
"107" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"108" "high" "low" ">24" "18-24" "18-24" "18-24" "open"
"109" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"110" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"111" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"112" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"113" "high" "low" ">24" ">24" "18-24" "18-24" "open"
"114" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"115" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"116" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"117" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"118" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"119" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"120" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"121" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"122" "high" "low" "<18" "<18" "<18" "<18" "open"
"123" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"124" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"125" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"126" "low" "low" "<18" ">24" "18-24" ">24" "open"
"127" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
